,emoji,labeled,review,title
0,0.0,True,i could see the train wreck coming for hours but couldn't look away and couldn't stop listening until the book was over..,The Great Alone
1,5.0,True,"would've been better if she just read, not tried to do characters",The Great Alone
2,2.0,True,no man worth what she endured and put her child through,The Great Alone
3,5.0,True,i really dislike stories of abuse to women,The Great Alone
4,5.0,True,"i have never read anything by this author before; the review sounded interesting, but what drew me was the narrator",The Great Alone
5,5.0,True,i finished it but i would not recommend this book,The Alice Network
6,0.0,True,when you find a jewel you are just amazed,The Alice Network
9,6.0,True,'the alice network' was fantastic,The Alice Network
10,3.0,True,i found myself tearing up more than once during this story,Eleanor Oliphant Is Completely Fine
11,6.0,True,the narrator was perfectly suited to this wonderfully written book,Eleanor Oliphant Is Completely Fine
12,6.0,True,"i loved the characters, particularly eleanor, and gentle raymond",Eleanor Oliphant Is Completely Fine
13,6.0,True,"it is excellently written and narrated, don't get me wrong, but if i had known how hard it was, i'd have opted for a different title",Eleanor Oliphant Is Completely Fine
14,2.0,True,"eleanor has experienced very little of life, at least, its good parts",Eleanor Oliphant Is Completely Fine
15,6.0,True,"this is one of the best books i've read or listened to, ever!!",Beneath a Scarlet Sky
17,2.0,True,"like most people who lived and fought in ww2, he reluctantly shared his story after over 50 years silence",Beneath a Scarlet Sky
18,6.0,True,this is one of the best,Beneath a Scarlet Sky
19,2.0,True,"i rarely review, but this was such a different, human perspective of ww2 in italy and showed so clearly, how murky options and people can be in real life",Beneath a Scarlet Sky
20,5.0,True,i am so disappointed,My Dear Hamilton
21,2.0,True,"i'm not exactly sure why ""a man called ove"" placed itself in my heart and mind but i will be forever grateful that this book is now a part of me",A Man Called Ove
22,2.0,True,i listened to newberns narration and am tempted to purchase the other narration just to see how the feminine perspective changes the story.well worth a credit,A Man Called Ove
23,2.0,True,"the more i think of it, the better i like it",A Man Called Ove
24,6.0,True,it delivers its messages effectively and efficiently and with genuine emotion,A Man Called Ove
25,6.0,True,"the greatest books allow us these experiences, often without realizing they are happening, until we find ourselves dwelling on the story for days...weeks...a lifetime",A Man Called Ove
26,6.0,True,a great book brings games to life and is awesome story,The Land: Founding: A LitRPG Saga
27,0.0,True,"by the end, you will want to play kong's game, were it available",The Land: Founding: A LitRPG Saga
28,5.0,True,some of that text is repetitive and can get obnoxious,The Land: Founding: A LitRPG Saga
29,0.0,True,"sure, he is excitedly in a new world but he doesn't have a more clear goal of his new life other than to raise the village and adventure(!)",The Land: Founding: A LitRPG Saga
30,6.0,True,oh and the performance by nick podehl was out standing,The Land: Founding: A LitRPG Saga
32,2.0,True,"this story has been so inspirational to me, and makes you think deeply about current issues",Still Me
33,5.0,True,the book seemed to drag and i was doing well to finish it,Still Me
34,6.0,True,love the story as it finished the story before this one,Still Me
35,6.0,True,"ticked all three boxes for me, made me laugh, made me cry, could not stop listening",Still Me
36,0.0,True,"he's giving his second chance in life the best he can, but he still has a problem with anger management",See Me
37,6.0,True,this was an excellent book the characters and the storyline were wonderful nicholas sparks has done it again,See Me
39,5.0,True,"i have listened to countless audiobooks and sometimes you don't love the narration, but this is the first time i've seen it ruin an otherwise ""ok"" story",See Me
40,2.0,True,very intriguing,See Me
41,0.0,True,richter develops his powers and his village in this installment,The Land: Forging
42,0.0,True,"he had obvious goals to complete, but in some cases after chapters go by of him describing what is happening around him, the battle ends with him running off into the mist to kill some of the leftovers, no details he just returns and the game-like interface explains the rewards he gets for completing the side quests",The Land: Forging
43,1.0,True,plenty of laugh out loud moments,The Land: Forging
45,0.0,True,"i finished listening to forging earlier this week, so now i'm re-re-re-re-re-re-reading the rest of the series on e-book",The Land: Forging
46,0.0,True,no one speaks like this,The Power
47,0.0,True,"overall, it was like hunger games, a movie pitch in book form",The Power
48,0.0,True,how about great women,The Power
49,0.0,True,there are a lot of pros and cons to this book,The Power
50,0.0,True,to the point that in 9 years they blow up the world,The Power
51,0.0,True,"a captivating sweep of 16-17 century english channel history, told in the terms of a single heroic lifespan",A Column of Fire
52,2.0,True,the story is compelling and reveals the brutal depths of the religious conflict in europe during the 1540’s to the 1600’s,A Column of Fire
53,0.0,True,i hope there is a book four  that follows jack to the new world !( hint hint mr.follett ) lol,A Column of Fire
54,6.0,True,if you loved the other two then you will love this one,A Column of Fire
55,0.0,True,still worth a listen,A Column of Fire
56,0.0,True,"get this audio book, but skip the introduction chapter and come back to it at the end",Animal Farm
57,0.0,True,"cosham, who died in 2014, never disappoints",Animal Farm
59,6.0,True,it is an absolute classic for many good reasons,Animal Farm
61,3.0,True,this story is overwhelming in its tragedy but is made warmer by the love of the family and their will to live,We Were the Lucky Ones
62,6.0,True,it was well written and compelling,We Were the Lucky Ones
63,0.0,True,the narration is sharply articulated but it isn't unpleasant and the accents were well done..,We Were the Lucky Ones
64,3.0,True,i went through all emotions while listening to this book,We Were the Lucky Ones
65,6.0,True,this was a hard book for me to put down,We Were the Lucky Ones
66,0.0,True,nick offerman brought this old story up to date and lended it new life that had me sitting in my driveway long after i pulled in to finish chapters,The Adventures of Tom Sawyer
67,6.0,True,i made a good choice,The Adventures of Tom Sawyer
68,0.0,True,i needed a familiar voice (i absolutely love offerman) and a familiar story to keep me company in my tiny studio apartment as i worked,The Adventures of Tom Sawyer
69,0.0,True,"i was surprised at how many different voices he had, and how he brought so many characters to life",The Adventures of Tom Sawyer
70,6.0,True,"it was a great adventure  to revisit this great american story, by a great american author",The Adventures of Tom Sawyer
71,0.0,True,that’s like reading an abridged version of “gone with the wind “- she didn’t love him,The Brothers Karamazov 
72,0.0,True,"richard pevear and larissa volokhonsky’s new translation of ""the brothers karamazov"" is now regarded by most critics to be definitive as it does not try to mask dostoyevskys idiosyncratic prose.gregory gives a rather calm and relaxed rendering of the work, which is nice in the long run.my dream ""audio"" karamazov would be david horovitch narrating the pevear and volokhonsky’s translation",The Brothers Karamazov 
73,6.0,True,"every minute of this title is meant to be savored--relax, be prepared for brilliance around every corner and enjoy what surely must be one of the best rational, spiritual and philosophical reads i'll ever experience in my life",The Brothers Karamazov 
74,0.0,True,"he puts such expression into the dialogue, that i feel i know each of the characters personally",The Brothers Karamazov 
75,0.0,True,"read it and heard audio, too",The Brothers Karamazov 
76,6.0,True,you and all the cast are the best actors i’ve ever seen,The Things They Carried
77,3.0,True,i got the sense of how heavy and traumatic some of situations were,The Things They Carried
79,2.0,True,"the way o'brien writes, the horrid things that happen are described in a way that it helps me understand the emotional toll paid by a generation of young men.this is, without a question, one of the most important books about the viet nam war and its personal impact",The Things They Carried
80,0.0,True,a reader would have to have serious cognitive deficits not to get pulled in and inundated in the stories,The Things They Carried
81,0.0,True,"i was driving again, in the sun this time, on my way back home",The Ocean at the End of the Lane
82,0.0,True,the ocean at the end of the lane feels like none of gaiman’s previous novels,The Ocean at the End of the Lane
83,6.0,True,it was simply elegant storytelling,The Ocean at the End of the Lane
84,0.0,True,him,The Ocean at the End of the Lane
86,2.0,True,i really want to walk along with them on their journey along the path of the beam,Wolves of the Calla
87,5.0,True,he could do a mcuh better job than he does,Wolves of the Calla
88,0.0,True,"<b><u>the dark tower: </b> wolves of the calla</u> opens with a prologue that introduces listeners to the folken of calla bryn sturgis, people in need of ?hard calibers?; people in need of help from gunslingers",Wolves of the Calla
90,0.0,True,i agree with an earlier reviewer who stated that the books in this series keep getting better,Wolves of the Calla
92,2.0,True,"it deals with a broad range of issues, from violence and war, faith and hope, despair and healing, prejudice and racism",Homegoing
93,0.0,True,this could have been an excellent story with more character development and even a more in-depth look at the history of the cultures could have really tied this story together,Homegoing
94,0.0,True,"some descendants felt hardship, others felt privilege, some both wrapped up in each other.the strength of this book is that it moves along over such a long period, with the families really not connecting too much to be unbelievable",Homegoing
95,3.0,True,"whipped,once shipped.we, two, black.me, you.one grew fromcocoa's soil, birthed from nut,skin uncut, still bleeding.we, two, wade.the waters seem differentbut are same.our same",Homegoing
96,6.0,True,highly recommended,Americanah
97,6.0,True,i loved this book,Americanah
98,0.0,True,"and, use what they've learned from people-watching",Americanah
99,2.0,True,adichie does a great job making the impacts of this racism real through the eyes of ifemelu and her family and friends in the u.s,Americanah
101,3.0,True,this is a very emotional book and it deserves to be listened to with full attention,Me Before You
102,0.0,True,"she takes him on outings, to concerts, buys voice recognition software for his computer so that he can be part of the disabled community and form friendships, thus expanding the scope of his life.at first i thought this would be predictably about how the able-bodied/impaired learn to relate, like each other and then fall in love",Me Before You
103,0.0,True,"jojo moyes tells the story of will traynor, wheelchair-bound quadriplegic, and louisa clark, his hired care assistant, two polar opposites who would not have met under ordinary circumstances",Me Before You
104,6.0,True,the narrator is perfect in every way and the story is unique and beautiful,Me Before You
105,3.0,True,"i could picture will down to his shirt, haircut, and even the smell of his skin ( i know that sounds creepy) but enjoyed the experience and even shed a tear at the end.jo jo moyes latest book, ""the girl you left behind"" is an excellent read",Me Before You
107,0.0,True,"she pauses in the middle of sentences and even in the middle of words, spewing out 3 or 4 words at a time",Beloved
108,0.0,True,"i'd rather sit down, open my hardcover edition and re-read the novel",Beloved
109,0.0,True,i had serious difficulty liking this book at first,Beloved
110,5.0,True,"however, i had to quit this one--only the second time i have not completed an audiobook",Beloved
111,6.0,True,fantastic,Dracula 
112,0.0,True,the only thing missing from audible's production is a cast list,Dracula 
113,6.0,True,what made this an outstanding story to me is that the count is not the central character,Dracula 
114,0.0,True,"i thought vance captured his intonation beautifully when he recounted the conversations between the count and harker, but with borsi karlof, frank langella and others in mind, it would have been nice to hear him speak",Dracula 
115,0.0,True,(it was a little amusing listening to the breathy and fragile lucy and mina...considering the time frame in which this was written,Dracula 
116,5.0,True,"i've tried to read zora neale hurston before, gotten ten pages in thinking ""wow, she really can write"" then put the book down and never picked it up again",Their Eyes Were Watching God
117,0.0,True,"truer words could not be spoken, when in the introduction, the narrator says, ""performed by ruby dee""",Their Eyes Were Watching God
121,0.0,True,i have over 3000 audiobooks in two accounts - and have listened to them all - even when i should have stopped,The Art of Racing in the Rain
122,0.0,True,"i am a dog person, not a cat person, so that was easy",The Art of Racing in the Rain
123,6.0,True,"the premise is outlandish but it really works, the writing is beautiful",The Art of Racing in the Rain
124,6.0,True,"give it a listen, i'm certain you'll enjoy it",The Art of Racing in the Rain
125,6.0,True,i was totally dissapointed when it ended,The Art of Racing in the Rain
126,5.0,True,i struggled to finish,The Tea Girl of Hummingbird Lane
127,5.0,True,"by the end of the book, i was more than ready for it to be over",The Tea Girl of Hummingbird Lane
128,2.0,True,i learned a lot about the history of tea and the customs of this remote village,The Tea Girl of Hummingbird Lane
129,5.0,True,a mishmash of storylines ..,The Tea Girl of Hummingbird Lane
131,0.0,True,"sarah and her sister angelina are directly from history, well known as early abolitionists and women's right activists..",The Invention of Wings
132,0.0,True,"i was perhaps not as familiar with the writing of sue monk kidd as some of my fellow editors, but i decided to listen upon hearing their praise for this novel",The Invention of Wings
133,2.0,True,not until the author's statement at the end do we learn all that much about the historic sisters' lives - and that an equally important half of the story is entirely fictional.i was expecting more,The Invention of Wings
134,0.0,True,i enjoyed reading the invention of wings for two reasons,The Invention of Wings
135,6.0,True,i will recommend this book to a few friends,The Invention of Wings
136,0.0,True,martin's journey to becoming the great author he is today,Dreamsongs 
137,2.0,True,"that's the way you feel when you listen to george martin - actually listen to the author - read his early stories (along with some other pretty amazing narrators-big shout out to scott brick, a personal favorite) and explain where he was and what was going on in his life when he wrote them",Dreamsongs 
138,0.0,True,if you are interested in martins path to fame this paints the picture and includes quite a few shorts from martin's early career through the mid 80's,Dreamsongs 
139,0.0,True,"this edition contains all three of the ""unabridged selections"" volumes that are sold separately",Dreamsongs 
140,6.0,True,dreamsongs is excellent,Dreamsongs 
141,5.0,True,i found this book pretty blah,Fall from Grace
142,6.0,True,love,Fall from Grace
145,6.0,True,i truly enjoyed this book,Fall from Grace
146,0.0,True,"overall, well narrated and interesting enough to keep me listening",Almost Missed You
147,5.0,True,"by half way in i started to fast forward, the narrator is excellent but the story is far too long",Almost Missed You
148,0.0,True,"it wasn't bad enough to stop listening, narrator did well but it just never was compelling enough for me",Almost Missed You
149,0.0,True,those kinds of comments foreshadow some unfortunate revelation that the only insiders would be privy to know,Almost Missed You
150,0.0,True,characters are relatable,Almost Missed You
151,5.0,True,"i am sure i would not have enjoyed reading this book, but to listen on the treadmill, it was fine",The Hypnotist's Love Story
153,5.0,True,but really was underwhelming and disappointing,The Hypnotist's Love Story
154,5.0,True,i found myself not being able to put the book down because i wanted something exciting to happen that never quite happened,The Hypnotist's Love Story
155,0.0,True,"is the expectation that you should ""get over it"" realistic",The Hypnotist's Love Story
156,3.0,True,my impression then was that it is a profoundly sad story about the treatment of people in mental hospitals at the time the book was published (early 1960s),One Flew Over the Cuckoo's Nest
157,2.0,True,"the book's primary metaphor is that of the government as ""the combine,"" as it's known by the narrator ""chief"" bromden, a mechanism for manipulating individuals and processes",One Flew Over the Cuckoo's Nest
158,6.0,True,audible should please let the narrator narrate more books 'cause he really brought the characters to life,One Flew Over the Cuckoo's Nest
160,4.0,True,i had moved away from his books because they became too creepy and outlandish for my taste,Mr. Mercedes
161,0.0,True,"king is a genius, but he has such a way of making people believe he is just a regular joe",Mr. Mercedes
162,0.0,True,"i cheered for him, and found myself talking outloud to him, offering unsolicited advice",Mr. Mercedes
163,0.0,True,"he releases a book and there is a communal feeling amongst readers of all genres, almost holiday-like",Mr. Mercedes
164,2.0,True,it poses the question is this insanity or evil,Mr. Mercedes
165,6.0,True,"really good, didn't expect much but was pleasantly surprised",FREE: The Undead
166,6.0,True,good tactic by the author and audible,FREE: The Undead
167,0.0,True,"originally, i passed on this series because the first book wasn't very long and i wanted more story time for my credit",FREE: The Undead
170,5.0,True,nothing is developed properly,The Watchmaker's Daughter
171,5.0,True,i get so frustrated when i see shining gems like that surrounded by dross because i really think there's a story here i want to know,The Watchmaker's Daughter
172,0.0,True,"she is intelligent, educated, strong, and unconventional",The Watchmaker's Daughter
174,0.0,True,good read terrible accents threaten to reck enjoyment but i still managed to enjoy,The Watchmaker's Daughter
175,0.0,True,"i fell in love with most of the characters, except the inspector javert-like cop who is totally hateful",The Shadow of the Wind
176,5.0,True,"when we went into nuria's pov, i began to get very confused, and even davis's narration couldn't help me",The Shadow of the Wind
177,0.0,True,"the story line is complex and challenging, as it is woven over half a century and there are many characters portrayed at different stages in their development",The Shadow of the Wind
178,0.0,True,"the language, tone and manner of expression is very spanish",The Shadow of the Wind
179,2.0,True,a thoughtful and well written story,The Shadow of the Wind
181,6.0,True,not only loved but read again and again in due time,The Talisman
182,6.0,True,so now i'm 40 and listened to the audiobook and still loved it,The Talisman
183,0.0,True,"his style always puts me off at first, but it always ends up growing on me",The Talisman
184,2.0,True,"from the reviews of others it bothered the politically correct crowd; however, theirs is not the last word",The Talisman
185,2.0,True,"he gives them an example of a situation and only the students were able to come up with solutions, because they lacked the emotion and had a logical approach without the feelings that would have been a barricade to ideas",The Rosie Project
194,5.0,True,i did not enjoy as i often don't the subjugation of women to their husbands,Behold the Dreamers 
196,5.0,True,"however, the story itself kinda fizzled for me as it went along",Behold the Dreamers 
201,0.0,True,his reading on this novel and books 2 and 4 are a hard act to follow and none of the other performing readers in this series come anywhere close,The Last Kingdom
255,6.0,True,brilliant,A Prayer for Owen Meany
300,0.0,True,normally i listen to audiobooks when i go to sleep,The Listener
301,0.0,True,i can see a movie made from this one,The Listener
302,5.0,True,if not necessary i would have stopped about 1/3 of the way through,Salvage the Bones
303,0.0,True,parts of it were simply too much for me.the writing is flawless,Salvage the Bones
304,6.0,True,cherise booth is an outstanding narrator and injects warmth and humanity in the main characters,Salvage the Bones
305,3.0,True,"[i listened to this as an audio book read by cherise boothe, who i thought could have differentiated the characters more and put more emotion into it]",Salvage the Bones
306,0.0,True,"learn about her as a young black woman living in rural mississippi and her relationships with her brothers, family and community",Salvage the Bones
307,6.0,True,"just loved this book - great characters, great storyline",Coming Home
308,6.0,True,"between the beauty of the story and the perfect narrator, you won’t want, coming home, to end",Coming Home
309,2.0,True,rosamunde brings the messiness of life as well as the beauty in her novels,Coming Home
310,6.0,True,wonderful characters against the back drop of wwii,Coming Home
312,0.0,True,"kingsolver not only delivers a beautiful and poignant story, but her literary finesse always captivates me",Flight Behavior
313,0.0,True,yes,Flight Behavior
314,0.0,True,i've read everything in print from kingsolver,Flight Behavior
315,2.0,True,"kingsolver bridges the gap of communication between social, political and academic cultures in this country through the eyes of a truly remarkable kingsolverian character",Flight Behavior
316,2.0,True,"the butterfly effect, aka the chaos theory; the flapping of a delicate butterfly wing changes the course of a hurricane--kingsolver amps it up throwing man into the equation creating a fictional scenario of climate change and global chaos (based on actual recent events) that asks again whether or not we grasp our world and our 'sensitive dependence'",Flight Behavior
317,0.0,True,i will read the next one,NPCs
319,0.0,True,"it has some interesting ideas, some cool characters, and such",NPCs
320,0.0,True,"me, i loved gemstone iii",NPCs
321,0.0,True,i would listen to another book by the voice actor though,NPCs
322,0.0,True,be aware that this listen keeps you on your toes remembering just how each character is connected to all the others,Anything Is Possible
323,0.0,True,one of the most achingly beautiful and hopeful books i have ever heard,Anything Is Possible
324,0.0,True,loved learning more about the rest of the family and orhers in the town,Anything Is Possible
326,2.0,True,i loved the compassion the writer has for these flawed and striving characters,Anything Is Possible
329,5.0,True,"i've had so many people here at audible recommend graham greene's the end of the affair that, on some subconscious level, i think i made it a point of contention not to listen",The End of the Affair
330,0.0,True,s,The End of the Affair
331,6.0,True,"seriously, seriously, seriously – don’t miss this performance",The End of the Affair
334,0.0,True,if you are looking for horror the first two thirds of this book aren't for you,The Hunger
336,6.0,True,"listened to this over the course of 3 nights, and we had a hard time pausing it to go to sleep",The Hunger
337,6.0,True,it hooks you in from the beginning and keeps you wanting more until the last words,If I Run
340,0.0,True,terri blackstock is one of my favorite writers,If I Run
341,0.0,True,it starts off a little dry and leaves you questioning how good this will be,If I Run
342,6.0,True,this is a case of perfect reader meeting a perfect text,The Edgar Allan Poe Audio Collection
343,0.0,True,"selection #7 is of the missing verse (i-vi), though without the other material excluded from #5",The Edgar Allan Poe Audio Collection
344,4.0,True,tales of terror narrated by foreman may be a better choice,The Edgar Allan Poe Audio Collection
345,5.0,True,"as it is, one must fast-forward to move past a poem or story",The Edgar Allan Poe Audio Collection
347,0.0,True,"i was reminded of so many things i'd known once, but had forgotten namely birds aren't the ones who can fly..",Song of Solomon
348,0.0,True,i have had this book for 10 years and never read it because of time,Song of Solomon
350,2.0,True,"oddball characters who don't fit into black society, weird paranormal plotlines, and interest in generational narratives",Song of Solomon
353,5.0,True,it's the first thing i've purchased from diana gabaldon that i felt did not justify the purchase price,Virgins
354,0.0,True,"but that was clear from the title.i really loved seeing  jamie and ian interact together.in the other books it is mentioned, but i just really liked seen them having an adventure together and seeing ian when he was still able to fight.of course all of the main books in the series should definitely be read in order but i think even someone who is not familiar with the series would enjoy this book.i absolutely loved the narrator as well.i searched but unfortunately this seems to be the only book on audible that he has narrated.i look forward to more work from him as well.and did i mention, more jamie fraser",Virgins
365,0.0,True,"as amanda talks, a series of vivid images—a beautiful woman in a gold bikini, a dead bird in a stream, a three-legged dog—unfold along with a growing sense of horror, while david ruthlessly judges which details are important and which are not",Fever Dream
374,5.0,True,it was difficult to get through this one,White Noise
384,5.0,True,"perhaps they didn't notice that the narrator was unreliable, or didn't perceive the theme of class in the uk, they just thought it was a ghost story where the ghost isn't identified finally",The Little Stranger
412,1.0,True,"if one is not familiar with poe other than some of his popular works like the pit and the pendulum, then you will find these stories weird, crazy and some are hilarious like toby dammit",Edgar Allan Poe - The Complete Short Stories
433,0.0,True,"lolthis series seems like a bunch of short stories grouped together, but there is a larger story in the background during each book",The Fangs of Freelance
434,5.0,True,this is inexcusable.if i'd have picked this up from librivox as the work of a talented amateur it would have been fine,Pride And Prejudice
441,6.0,True,"a fasinating story of a family filled with love toward each other, but broken in how they show it",The Prince of Tides
446,6.0,True,"interesting storyline, is actually 6 separate stories that start and end as one",The House by the River
464,0.0,True,the plot is even believable despite being about zombies,Patient Zero
481,6.0,True,"the writing and pacing of the story was solid, and the material was extremely interesting",Code Girls
501,0.0,True,"i really didn't want him to die.narrator suzanne toren breathes life into the story, and even into the nearly all-male cast of characters",Team of Rivals
502,2.0,True,the downside is team of rivals has a strong point of view about lincoln as a politician and a heroic man,Team of Rivals
503,0.0,True,"though i was very familiar with lincoln and the civil war, i learned new things about lincoln through finding out about seward, chase, and stanton",Team of Rivals
504,0.0,True,the book delivered on this,Team of Rivals
505,6.0,True,the individuals come alive and their actions are both fascinating and horrifying,Lost to the West
506,6.0,True,"you could draw a nice graph of the rising and falling fortunes of the empire from this clearly-written, entertaining account",Lost to the West
507,0.0,True,"honestly i would have preferred that he had hired a more professional reader to read his book, as he has kind of an accent, but overall, this book is awesome, get it",Lost to the West
508,0.0,True,"a well written narrative on byzantine history, however, after comneni restoration, the book started to skip important parts, such the reign of adronika ii, andronika iii, john i, but for what it is worth, the narrative is captivating, this book should be supplemented by thomas f",Lost to the West
510,0.0,True,"the only thing missing from this unabridged audio version are the foreword and afterword ambrose recorded for the abridged version, which captured ambrose's passion about this expedition and how often he and his family camped along the lewis & clark trail",Undaunted Courage
513,5.0,True,"sad to say that the flat, droning, expressionless, uninspired (i could go on) narration ruined the book for me",Undaunted Courage
514,0.0,True,i would have rated this book a 5 if it were not for the unequal emphasis placed on the return trip,Undaunted Courage
515,2.0,True,"now i know a lot about the man, his beginnings, how he built his fortune, his saintly, human, crooked and cunning sides, his mind boggling philanthropy and more besides.we humans love to paint others as either one thing or the other, good or bad, saintly or evil",Titan
516,0.0,True,"not without a few underhanded tactics which he would ignore, standard oil grew to colossal proportion until it was ultimately broken up by the us courts.this was an excellent read and i would recommend it to anyone who would like to learn about rockefeller, standard oil, his philanthropic endeavors, or how one of the largest corporations in the world became the greatest monopolies",Titan
517,2.0,True,but much of this book has to do with his gigantic philanthropic endeavors -- and his family,Titan
518,0.0,True,the life and habits of this curious man are on full display,Titan
519,0.0,True,chernow always has an interesting and thorough approach to biography without making it too detailed or over praising the subject,Titan
520,6.0,True,loved this book so much information and stories,The Westies
521,0.0,True,in mickey featherstone's case you can see when one is given the chance they can achieve it,The Westies
522,0.0,True,i especially like the follow up at the end that gives the reader closure on the participants,The Westies
523,0.0,True,it's an exaggeration tell the real story this story is based on a rat's version,The Westies
524,6.0,True,the westies is my new favorite,The Westies
525,6.0,True,this book offers a very in-depth look at u.s,Ghost Wars
526,0.0,True,there's clear points in this audiobook where the narrator's voice is cut off,Ghost Wars
527,0.0,True,"we armed the ""resistance"" fighters and abandoned them when the ""resistance"" got rid of the russians",Ghost Wars
528,6.0,True,"it is wonderfully detailed, clearly written and read, and totally engaging",Ghost Wars
529,3.0,True,"it is heartbreaking to watch the cia, national security, and state dept officials wrestle with they dilemnas that they did, only to realize the inevitablity of some of their choices(they would only have chosen differently if they had known about 9/11 years prior to its occurance), and the confounding arbitrariness of others.superb narration and engaging writing style throughout",Ghost Wars
530,0.0,True,the book was refreshing to hear there may be insights to ancient histories that our society is unaware of,Fingerprints of the Gods
531,0.0,True,"is it a coincidence that this book is both perversely engaging whilst conveying, nonetheless, the grandeur of the ancients with the dual fascination of both scientific mathematical exactness and the magical mysticism of legend and myth",Fingerprints of the Gods
532,0.0,True,finally finished it.,Fingerprints of the Gods
533,0.0,True,great presentation on theories of origins of various prehistoric structures,Fingerprints of the Gods
534,2.0,True,great thought provoking book,Fingerprints of the Gods
535,0.0,True,"instead, he focuses on disproving a lot of existing theories",1491
536,5.0,True,still it laid out a background and history of the americas that is generally glossed over if mentioned at all,1491
537,0.0,True,now it makes sense,1491
539,0.0,True,"overall this book is full of interesting ideas and great insights into what often never makes jt into history books or the histories we have been taught.however, i found the narration to be far too slow and inappropriate delays and interpretations of commas and sentence structure made listening difficult and sometimes unpleasant",1491
540,0.0,True,he revers george w,Lone Survivor
542,0.0,True,i got the audio version so i can listen to it again in the car,Lone Survivor
543,0.0,True,im not sure if there are better books on the subject being that this is my first,The Rise and Fall of Ancient Egypt
544,6.0,True,more history books should be done like this one,The Rise and Fall of Ancient Egypt
545,6.0,True,content:  fascinating stuffconclusion:  recommended,The Rise and Fall of Ancient Egypt
546,5.0,True,it just didn’t seem to flow well from topic to topic,The Rise and Fall of Ancient Egypt
547,2.0,True,"yes, it is a terrible thing which happened and the book doesn't flinch from that but overall one is left with a gripping and well-researched story which brings all the individuals involved to life",Helter Skelter
548,0.0,True,"today, a jury would focus in on all those errors and mistakes",Helter Skelter
562,6.0,True,i bought it immediately on audible and started listening that evening and couldn't stop listening,Fearless
572,0.0,True,a fair presentation of churchill’s personality & temperament,Darkest Hour
579,0.0,True,general eisenhower is spoken of as “politically naïve” while current biographies speak of him as a brilliant politician (see jean edward smith’s biography or evan thomas’ book “ike’s bluff”),The Second World War
594,6.0,True,a truly great work,The Gulag Archipelago
596,6.0,True,it is long but well worth it,The Gulag Archipelago
597,6.0,True,the reading is perfect,The Gulag Archipelago
608,4.0,True,"lots of blood, pus, and other disturbing imagery, but, these are also historical fact",The Butchering Art
624,6.0,True,scott brick's narration is excellent (no idea how one reviewer thought he was condescending),Where Men Win Glory
667,5.0,True,drifts off on tangents though,"The Mission, the Men, and Me"
668,0.0,True,"small, entrepreneurial groups of highly trained spec ops soldiers are the better alternative","The Mission, the Men, and Me"
687,2.0,True,fukuyama sets out to write a history of political order and the developments of the core parts of the state and achieves this goal definitively,The Origins of Political Order: From Prehuman Times to the French Revolution
702,6.0,True,the author/narriator's voice is pleasing and engaging,The Last Castle
706,5.0,True,the fake accents are phony and downright insulting to the listener,Behemoth
743,6.0,True,i really enjoyed this book,Black Fortunes
745,0.0,True,lots of details,If You Survive
757,2.0,True,"we're likely in for an equally dangerous next half-century, both from threats without as well as what our scientists develop from within",The Pentagon's Brain
758,6.0,True,what a revelation,The Pentagon's Brain
787,0.0,True,not like a dostoyevsky novel at all so don't worry about being confused by the number and sound of names,Catherine the Great
801,0.0,True,"previous reviews commented on the author's obvious religious bias, but it didn't impact the historical value, and his writing style was delightful",Amazing Grace
811,6.0,True,i highly recommend this book for black folks,The Willie Lynch Letter and the Making of a Slave
823,0.0,True,"still, it's worth it-- especially if you need a shorter book",The Ghost Map
858,0.0,True,the story.which focuses on the real life events of a group of american sailors during early and urgent months through their liberation during the second world war,Ship of Ghosts
880,6.0,True,this book is a great modern biography of the man,Cicero: The Life and Times of Rome's Greatest Politician
881,0.0,True,"a little too much context background for readers who've explored the republic before, but overall, very pleasurable",Cicero: The Life and Times of Rome's Greatest Politician
884,6.0,True,the narrator is excellent,The Coldest Winter
